date,text,link
2018-01-01 18:13,Single family residential acquisitions analyst,https://newyork.craigslist.org/mnh/egr/d/single-family-residential/6444637775.html
2018-01-01 17:46,Construction Manager: high volume single family flipping/rental co,https://newyork.craigslist.org/mnh/egr/d/construction-manager-high/6444614673.html
2018-01-01 15:20,FACILITIES MANAGER w/ Engineering Background Mang Office & Warehouse,https://newyork.craigslist.org/mnh/egr/d/facilities-manager/6444473158.html
2017-12-29 17:13,STAFF MECHANICAL ENGINEER - PRODUCT DEVELOPMENT,https://newyork.craigslist.org/lgi/egr/d/staff-mechanical-engineer/6442043941.html
2017-12-29 15:49,Architect 2-5 Years' Experience,https://newyork.craigslist.org/mnh/egr/d/architect-2-5-years-experience/6441945941.html
2017-12-29 15:25,Experienced Expediter,https://newyork.craigslist.org/brk/egr/d/experienced-expediter/6441916005.html
2017-12-29 14:08,Architectural Designer Needed,https://newyork.craigslist.org/brk/egr/d/architectural-designer-needed/6441814150.html
2017-12-29 14:01,Controls/ Instrumentation Engineer,https://newyork.craigslist.org/mnh/egr/d/controls-instrumentation/6441803714.html
2017-12-29 13:36,Architectural Consultant/Expediter,https://newyork.craigslist.org/mnh/egr/d/architectural-consultant/6441770473.html
2017-12-29 13:05,Experienced Certificate of Occupancy Coordinator/Project Manager,https://newyork.craigslist.org/mnh/egr/d/experienced-certificate-of/6441728638.html
2017-12-29 11:39,Assistant Construction Manager,https://newyork.craigslist.org/mnh/egr/d/assistant-construction-manager/6441608858.html
2017-12-29 00:30,Architectural project manager / draftsperson- Flushing,https://newyork.craigslist.org/que/egr/d/architectural-project-manager/6441290834.html
